HKATOTTG,name,area_km2,TN,TN_km2,W_total,W_tour,share_W,DW_total,DW_tour,share_DW,AIR_total,AIR_tour,share_AIR,MSW_total,MSW_tour,share_MSW,W_tour_km2,DW_tour_km2,AIR_tour_km2,MSW_tour_km2
UA26020010000096556,Білоберізька сільська громада,353.566626,585,1.654568,,,,,,,6.29,0.0,0.0,15.68,0.0,0.0,,,0.0,0.0
UA26020030000088465,Верховинська селищна громада,406.883285,9793,24.068327,,,,1.72,0.0,0.0,52.19,11.02,0.211152,738.25,0.0,0.0,,0.0,0.027084,0.0
UA26020050000098694,Зеленська сільська громада,486.38024,3602,7.405728,,,,,,,0.86,0.0,0.0,2.75,0.0,0.0,,,0.0,0.0
UA26040030000091528,Богородчанська селищна громада,255.436734,6251,24.471813,7385.52,0.0,0.0,27.18,1.04,0.038263,17279.56,13355.61,0.772914,93.37,0.0,0.0,0.0,0.004071,52.285393,0.0
UA26040050000080752,Букачівська селищна громада,139.060172,2,0.014382,,,,,,,78.89,0.0,0.0,9.6,0.0,0.0,,,0.0,0.0
UA26040070000065724,Бурштинська міська громада,201.457714,1091,5.415529,,,,86.74,0.0,0.0,4927526.44,0.0,0.0,6173.12,0.0,0.0,,0.0,0.0,0.0
UA26040090000025932,Галицька міська громада,244.055491,2138,8.760303,,,,,,,3787.09,0.0,0.0,243834.3,0.0,0.0,,,0.0,0.0
UA26040190000081578,Івано-Франківська міська громада,263.593651,105150,398.909457,38328.0,0.0,0.0,1.48,0.0,0.0,17745.73,552.98,0.031161,199.03,0.0,0.0,0.0,0.0,2.09785,0.0
UA26040210000094444,Лисецька селищна громада,81.184398,124,1.527387,,,,4.2,0.0,0.0,3.07,0.0,0.0,99.81,0.0,0.0,,0.0,0.0,0.0
UA26040270000047749,Рогатинська міська громада,631.838536,1293,2.046409,214765.8,0.0,0.0,4.56,0.0,0.0,4237.81,0.0,0.0,3153.63,0.0,0.0,0.0,0.0,0.0,0.0
UA26040290000025886,Солотвинська селищна громада,376.084317,1960,5.211597,,,,,,,328.45,137.15,0.417567,0.0,0.0,,,,0.364679,0.0
UA26040330000019235,Тисменицька міська громада,246.018257,389,1.581183,,,,,,,281.17,20.58,0.073194,,,,,,0.083652,
UA26040370000057019,Угринівська сільська громада,17.677138,684,38.694046,,,,,,,11.02,0.0,0.0,,,,,,0.0,
UA26040390000023006,Ямницька сільська громада,127.774986,2114,16.544709,2581120.0,0.0,0.0,5039.58,0.0,0.0,2925437.43,0.03,0.0,113235.99,0.0,0.0,0.0,0.0,0.000235,0.0
UA26060010000037638,Болехівська міська громада,286.337822,420,1.466799,131502.0,131132.0,0.997186,20.92,0.0,0.0,930.59,0.0,0.0,7.41,0.0,0.0,457.962554,0.0,0.0,0.0
UA26060070000011203,Вигодська селищна громада,747.890724,3506,4.687851,47746.72,0.0,0.0,36.62,0.0,0.0,12211.58,0.0,0.0,274.37,0.0,0.0,0.0,0.0,0.0,0.0
UA26060130000047466,Долинська міська громада,350.942978,2969,8.460064,73388.0,0.0,0.0,37.3,0.0,0.0,114087.18,0.08,1e-06,18235.26,0.0,0.0,0.0,0.0,0.000228,0.0
UA26060170000091466,Калуська міська громада,265.179414,2458,9.269196,67283.76,0.0,0.0,3216.54,0.0,0.0,341153.99,0.02,0.0,34013.43,0.0,0.0,0.0,0.0,7.5e-05,0.0
UA26060210000091421,Перегінська селищна громада,723.966381,1207,1.667204,1513202.0,0.0,0.0,1.35,0.0,0.0,2464.43,0.0,0.0,532.68,0.0,0.0,0.0,0.0,0.0,0.0
UA26080030000014307,Городенківська міська громада,614.998218,890,1.447159,82086.0,0.0,0.0,64.49,0.0,0.0,2532.5,0.02,8e-06,297.71,0.0,0.0,0.0,0.0,3.3e-05,0.0
UA26080050000081474,Заболотівська селищна громада,213.566821,157,0.735133,2000.0,0.0,0.0,7.45,0.0,0.0,534.91,0.0,0.0,,,,0.0,0.0,0.0,
UA26080070000092582,Коломийська міська громада,172.403468,6002,34.813685,14539.828,0.0,0.0,1369.95,0.0,0.0,9367.27,4.98,0.000532,12463.4,0.0,0.0,0.0,0.0,0.028886,0.0
UA26080130000058024,Нижньовербізька сільська громада,97.272878,36,0.370093,,,,,,,39.13,0.0,0.0,,,,,,0.0,
UA26080170000041182,Печеніжинська селищна громада,184.321627,4,0.021701,,,,0.28,0.0,0.0,1079.3,0.0,0.0,1.28,0.0,0.0,,0.0,0.0,0.0
UA26080230000035462,Снятинська міська громада,364.846284,157,0.430318,,,,22.27,0.0,0.0,7069.62,0.0,0.0,1691.81,0.0,0.0,,0.0,0.0,0.0
